57/11678;alpha: skip list (Skip list: check if the best basis for merkelized skip list is indeed the best);2.07446;0.083937;2.15851;491692;395560
58/11678;alpha: sc rollup wasm (initial state hash for Wasm);0.298812;0.023905;0.322813;193112;96140
59/11678;alpha: sc rollup wasm (initial state hash for Wasm machine);0.293092;0.028104;0.321305;193068;96136
60/11678;alpha: sc rollup wasm (size of a rollup metadata);0.283791;0.031976;0.315868;193368;96396
61/11678;alpha: sc rollup wasm (l1 input kind);0.291663;0.027967;0.319737;193108;96140
62/11678;alpha: sc rollup wasm (output proofs);0.292322;0.02803;0.320457;193620;96404
63/11678;alpha: sc rollup wasm (protocol names consistency);0.289542;0.032171;0.321837;192980;96140
64/11678;alpha: sc rollup storage (deposit);0.299302;0.019953;0.319386;193232;96140
65/11678;alpha: sc rollup storage (deposit by underfunded staker);0.300019;0.024001;0.324125;193072;96136
66/11678;alpha: sc rollup storage (deposit then withdraw);0.299688;0.023975;0.323758;193108;96140
67/11678;alpha: sc rollup storage (deposit on two rollups);0.301904;0.016101;0.318255;193108;96344
68/11678;alpha: sc rollup storage (deposit twice fails);0.307758;0.01199;0.319851;193108;96396
69/11678;alpha: sc rollup storage (publish);0.293482;0.024121;0.317708;192976;96140
70/11678;alpha: sc rollup storage (publish twice);0.310536;0.015924;0.326562;192976;96140
71/11678;alpha: sc rollup storage (publish to missing rollup fails);0.29765;0.024133;0.321867;192824;96144
72/11678;alpha: sc rollup storage (publish to wrong inbox level);0.284432;0.036054;0.320628;193240;96396
73/11678;alpha: sc rollup storage (publish existing commitment);0.284296;0.044045;0.328451;193104;96140
74/11678;alpha: sc rollup storage (publish commitment returns level when commitment was first published);0.295212;0.023936;0.319256;193068;96140
75/11678;alpha: sc rollup storage (publish from the future is not allowed);0.30401;0.016;0.320116;193200;96396
76/11678;alpha: sc rollup storage (publish from behind lcc is allowed);0.314803;0.011954;0.326912;193196;96236
77/11678;alpha: sc rollup storage (publish to any commitment of a branch);0.300102;0.024008;0.324228;193068;96140
78/11678;alpha: sc rollup storage (publish needs a predecessor);0.285506;0.03619;0.32181;193104;96144
79/11678;alpha: sc rollup storage (publish behind or at LCC);0.29146;0.03194;0.323507;193108;96140
80/11678;alpha: sc rollup storage (cement);0.293456;0.024119;0.317672;193104;96396
81/11678;alpha: sc rollup storage (cement to missing rollup fails);0.28955;0.032172;0.321872;193068;96148
82/11678;alpha: sc rollup storage (cement with n stakers);0.300812;0.020054;0.320967;193232;96140
83/11678;alpha: sc rollup storage (cement n commitments);0.288005;0.032;0.320107;193112;96140
84/11678;alpha: sc rollup storage (cement clean commitment(s));0.286941;0.035867;0.322914;193104;96396
85/11678;alpha: sc rollup storage (cement conflicted branches);0.308179;0.020011;0.328321;193104;96396
86/11678;alpha: sc rollup storage (withdraw to missing rollup fails);0.287734;0.03197;0.319817;192948;96136
87/11678;alpha: sc rollup storage (withdraw when not staked fails);0.301151;0.020076;0.321326;193068;96396
88/11678;alpha: sc rollup storage (withdraw twice fails);0.305058;0.016055;0.32122;193236;96140
89/11678;alpha: sc rollup storage (withdraw fails when staked after LCC);0.296278;0.024022;0.320424;193072;96140
90/11678;alpha: sc rollup storage (withdraw when staked before or at LCC);0.287882;0.035985;0.32397;193072;96140
91/11678;alpha: sc rollup storage (remove staker);0.296587;0.028055;0.324755;192976;96140
92/11678;alpha: sc rollup storage (staker come back after being slashed);0.294254;0.031811;0.326169;193072;96396
93/11678;alpha: sc rollup storage (cement fails when too recent);0.312644;0.012024;0.32481;193108;96272
94/11678;alpha: sc rollup storage (cement deadline uses oldest add time);0.296931;0.024075;0.321112;193196;96140
95/11678;alpha: sc rollup storage (last cemented commitment hash and level returns correct information);0.296368;0.020024;0.316502;193196;96396
96/11678;alpha: sc rollup storage (cement with two stakers);0.297582;0.020106;0.317798;193108;96136
97/11678;alpha: sc rollup storage (no cement on conflict);0.291081;0.035886;0.32708;192976;96140
98/11678;alpha: sc rollup storage (finds conflict point at LCC);0.289834;0.036229;0.326164;192980;96208
99/11678;alpha: sc rollup storage (finds conflict point beneath LCC);0.291573;0.027959;0.319691;193072;96408
100/11678;alpha: sc rollup storage (finds first point of disagreement when as point of conflict);0.305726;0.01609;0.321919;192944;96140
101/11678;alpha: sc rollup storage (finds no conflict point with two stakers, one of which is at LCC (PVM in preboot));0.303787;0.019986;0.323877;192944;96136
102/11678;alpha: sc rollup storage (finds no conflict point when both stakers commit to LCC (PVM in preboot));0.277136;0.040164;0.317439;193200;96396
103/11678;alpha: sc rollup storage (finds no conflict point with two stakers, one of which is at LCC);0.28733;0.031925;0.319363;193196;96396
104/11678;alpha: sc rollup storage (finds no conflict point when both stakers commit to LCC);0.304324;0.020021;0.324458;193072;96256
105/11678;alpha: sc rollup storage (conflict_point_computation_fits_in_gas_limit);0.521256;0.036086;0.557442;209328;112432
106/11678;alpha: sc rollup storage (can remove staker 1);0.30095;0.020063;0.321122;192976;96136
107/11678;alpha: sc rollup storage (can remove staker 2);0.286684;0.031853;0.318663;193112;96140
108/11678;alpha: sc rollup storage (removed staker can not withdraw);0.293094;0.024089;0.317288;193328;96396
109/11678;alpha: sc rollup storage (fetching last final commitment of missing rollup fails);0.283263;0.039896;0.32328;192940;96140
110/11678;alpha: sc rollup storage (fetching last final commitment hash and level of missing rollup fails);0.2828;0.039831;0.322732;193072;96140
111/11678;alpha: sc rollup storage (fetching commitment of missing rollup fails);0.307576;0.015977;0.323656;192940;96140
112/11678;alpha: sc rollup storage (fetching non-existing commitment of rollup fails);0.303737;0.015986;0.319847;193072;96140
113/11678;alpha: sc rollup storage (initial level of missing rollup fails);0.294008;0.03222;0.326327;193076;96308
114/11678;alpha: sc rollup storage (Refinement operations are commutative (point of conflict));0.315242;0.011971;0.327319;192944;96140
115/11678;alpha: sc rollup storage (Refinement operations are commutative (cement));0.294628;0.02787;0.322662;193068;96404
116/11678;alpha: sc rollup storage (Record messages in storage outbox);0.293565;0.036192;0.329878;192944;96140
117/11678;alpha: sc rollup storage (Record messages in storage outbox limits);0.304702;0.024055;0.32888;193200;96396
118/11678;alpha: sc rollup storage (Record messages size diffs);0.287008;0.031889;0.319025;192980;96140
119/11678;alpha: sc rollup storage (Originating a rollup creates a genesis commitment);0.286917;0.039849;0.326873;193032;96320
120/11678;alpha: sc rollup storage (Getting cemented commitments with levels of missing rollups fails);0.282173;0.039742;0.322079;193076;96140
121/11678;alpha: sc rollup storage (Getting cemented commitments returns multiple cemented commitments);0.300092;0.024007;0.324214;193076;96396
122/11678;alpha: sc rollup storage (All cemented commitments are ancestors of last cemented commitment);0.301022;0.020068;0.32119;193200;96392
123/11678;alpha: sc rollup storage (Unrelated commitments are classified as such);0.295279;0.027931;0.323359;192840;96412
124/11678;alpha: sc rollup storage (fresh index is correcly incremented);0.303781;0.015988;0.319872;192944;96140
125/11678;alpha: sc rollup storage (initial_level returns correct level);0.296937;0.024076;0.321112;193076;96396
126/11678;alpha: sc rollup storage (rollup starts in pre-boot state);0.295503;0.027953;0.323597;192708;96236
127/11678;alpha: sc rollup storage (kind of missing rollup is None);0.29343;0.024117;0.317648;192944;96140
128/11678;alpha: sc rollup management protocol (Encode/decode internal inbox message transfer);0.281293;0.040184;0.321594;192944;96144
129/11678;alpha: sc rollup management protocol (Encode/decode internal inbox message start of level);0.308363;0.012014;0.320479;193200;96140
130/11678;alpha: sc rollup management protocol (Encode/decode internal inbox message end of level);0.289727;0.032191;0.322023;193068;96140
131/11678;alpha: sc rollup management protocol (Encode/decode external inbox message);0.300718;0.024057;0.324889;192816;96140
132/11678;alpha: sc rollup management protocol (Encode/decode outbox message);0.292732;0.03208;0.324918;193068;96140
